symbol	address	function	source
wcdb_check_license	180020e40	wcdb_check_license	IMPORTED
wcdb_close_account	180020e60	wcdb_close_account	IMPORTED
wcdb_close_message_cursor	180021040	wcdb_close_message_cursor	IMPORTED
wcdb_exec_query	180021270	wcdb_exec_query	IMPORTED
wcdb_export_message_chunk	180021fa0	wcdb_export_message_chunk	IMPORTED
wcdb_fetch_message_batch	180022060	wcdb_fetch_message_batch	IMPORTED
wcdb_free_string	180024480	wcdb_free_string	IMPORTED
wcdb_get_logs	180024490	wcdb_get_logs	IMPORTED
wcdb_get_sns_timeline	1800247e0	wcdb_get_sns_timeline	IMPORTED
wcdb_init	180024e00	wcdb_init	IMPORTED
wcdb_open_account	180024fa0	wcdb_open_account	IMPORTED
wcdb_open_message_cursor	180026440	wcdb_open_message_cursor	IMPORTED
wcdb_open_message_cursor_lite	180026440	wcdb_open_message_cursor	IMPORTED
wcdb_set_app_version	1800264b0	wcdb_set_app_version	IMPORTED
wcdb_set_client_info	1800264d0	wcdb_set_client_info	IMPORTED
wcdb_set_my_wxid	1800264f0	wcdb_set_my_wxid	IMPORTED
wcdb_set_trusted_time	1800265f0	wcdb_set_trusted_time	IMPORTED
wcdb_shutdown	180026610	wcdb_shutdown	IMPORTED
